Stack-base Model,Base_Models,Selected_Features,Train_ACC,Train_BACC,Train_PRE,Train_SPEC,Train_SENS,Train_F1,Train_MCC,Train_AUC,Test_ACC,Test_BACC,Test_PRE,Test_SPEC,Test_SENS,Test_F1,Test_MCC,Test_AUC
Random Forest + Extra Trees + XGBoost + SVM,Random Forest + Extra Trees + XGBoost + SVM,352,0.8807,0.8919,0.837,0.9694,0.8919,0.8588,0.8104,0.9768,0.8826,0.8963,0.8421,0.9701,0.8963,0.8632,0.8137,0.979
Random Forest + XGBoost + SVM,Random Forest + XGBoost + SVM,352,0.8798,0.8909,0.836,0.9691,0.8909,0.8581,0.8088,0.9758,0.8831,0.8945,0.84,0.9701,0.8945,0.8614,0.8139,0.979
Random Forest + Extra Trees + SVM,Random Forest + Extra Trees + SVM,352,0.8771,0.8915,0.8343,0.9686,0.8915,0.8567,0.8055,0.9751,0.879,0.8941,0.8409,0.9692,0.8941,0.861,0.8086,0.9775
Random Forest + Extra Trees + XGBoost,Random Forest + Extra Trees + XGBoost,352,0.8806,0.8894,0.8357,0.9691,0.8894,0.8574,0.8095,0.9762,0.8849,0.8936,0.8443,0.97,0.8936,0.8638,0.8155,0.979
BiLSTM + Random Forest + XGBoost + SVM,BiLSTM + Random Forest + XGBoost + SVM,352,0.8797,0.8907,0.8356,0.9691,0.8907,0.8578,0.8086,0.9758,0.8824,0.8935,0.8389,0.97,0.8935,0.8603,0.8129,0.979
Extra Trees + XGBoost + SVM,Extra Trees + XGBoost + SVM,352,0.8806,0.89,0.8363,0.9693,0.89,0.8578,0.8099,0.9767,0.8835,0.8934,0.8417,0.9702,0.8934,0.8619,0.8145,0.9786
BiLSTM + Random Forest + Extra Trees + SVM,BiLSTM + Random Forest + Extra Trees + SVM,352,0.877,0.8916,0.8336,0.9686,0.8916,0.8563,0.8054,0.9753,0.8784,0.8934,0.838,0.969,0.8934,0.8591,0.8075,0.9775
BiLSTM + Extra Trees + XGBoost + SVM,BiLSTM + Extra Trees + XGBoost + SVM,352,0.8799,0.8899,0.836,0.9691,0.8899,0.8575,0.809,0.9767,0.8842,0.8933,0.8424,0.9703,0.8933,0.8622,0.8155,0.9786
BiLSTM + Random Forest + XGBoost,BiLSTM + Random Forest + XGBoost,352,0.8808,0.889,0.8345,0.969,0.889,0.857,0.8094,0.9754,0.8842,0.8928,0.8432,0.9698,0.8928,0.863,0.8142,0.979
BiLSTM + Random Forest + Extra Trees + XGBoost,BiLSTM + Random Forest + Extra Trees + XGBoost,352,0.881,0.8892,0.8353,0.9692,0.8892,0.8572,0.81,0.9763,0.884,0.8922,0.8432,0.9698,0.8922,0.8626,0.8141,0.9786
BiLSTM + Random Forest + SVM,BiLSTM + Random Forest + SVM,352,0.8762,0.89,0.8306,0.9684,0.89,0.8542,0.8041,0.974,0.8779,0.892,0.8365,0.969,0.892,0.8577,0.8069,0.9776
BiLSTM + Extra Trees + SVM,BiLSTM + Extra Trees + SVM,352,0.876,0.8892,0.834,0.9682,0.8892,0.8554,0.8038,0.9743,0.8795,0.8919,0.8404,0.9693,0.8919,0.8595,0.8094,0.9769
BiLSTM + Extra Trees + XGBoost,BiLSTM + Extra Trees + XGBoost,352,0.8807,0.8867,0.8358,0.969,0.8867,0.8564,0.8092,0.9762,0.8833,0.8899,0.8423,0.9695,0.8899,0.8611,0.8128,0.9788
BiLSTM + XGBoost + SVM,BiLSTM + XGBoost + SVM,352,0.8767,0.8863,0.8357,0.9682,0.8863,0.8556,0.804,0.9748,0.8779,0.8881,0.8334,0.9686,0.8881,0.8551,0.8054,0.9778
BiLSTM + Random Forest + Extra Trees,BiLSTM + Random Forest + Extra Trees,352,0.8789,0.8868,0.8319,0.9682,0.8868,0.8546,0.806,0.9729,0.879,0.8866,0.8363,0.9678,0.8866,0.8566,0.8054,0.9766
