Model,Embedding,Train_ACC,Train_PRE,Train_SPEC,Train_SENS,Train_F1,Train_MCC,Test_ACC,Test_PRE,Test_SPEC,Test_SENS,Test_F1,Test_MCC
Logistic Regression,RDKit,0.8267,0.7972,0.9381,0.7782,0.7866,0.6987,0.8165,0.7841,0.9349,0.7597,0.7701,0.681
Decision Tree,RDKit,0.9897,0.9947,0.9952,0.9824,0.9883,0.9824,0.8365,0.7852,0.9458,0.7525,0.7674,0.7178
Random Forest,RDKit,0.9897,0.9877,0.9965,0.9894,0.9885,0.9824,0.89,0.8686,0.9615,0.8457,0.8567,0.81
Extra Trees,RDKit,0.9897,0.9947,0.9952,0.9824,0.9883,0.9824,0.8912,0.871,0.961,0.8512,0.8606,0.8115
Gradient Boosting,RDKit,0.9832,0.9833,0.9936,0.9804,0.9818,0.9713,0.885,0.8658,0.9592,0.8354,0.8499,0.8006
AdaBoost,RDKit,0.6815,0.4833,0.8656,0.4169,0.4262,0.3921,0.6878,0.4904,0.8685,0.4257,0.4339,0.4069
XGBoost,RDKit,0.9884,0.9864,0.996,0.9883,0.9873,0.9801,0.8895,0.8702,0.961,0.842,0.8554,0.8086
SVM,RDKit,0.885,0.8643,0.9582,0.8419,0.8517,0.8005,0.8567,0.8326,0.9478,0.7952,0.8118,0.75
Logistic Regression,Morgan FP,0.9734,0.9698,0.9906,0.9688,0.9693,0.9545,0.8079,0.7482,0.9388,0.7281,0.7371,0.6722
Decision Tree,Morgan FP,0.9842,0.9872,0.9935,0.974,0.9804,0.973,0.8508,0.8011,0.9508,0.7822,0.7912,0.7433
Random Forest,Morgan FP,0.9842,0.9806,0.9948,0.9811,0.9808,0.973,0.8797,0.8503,0.9582,0.8289,0.8386,0.7922
Extra Trees,Morgan FP,0.9842,0.9872,0.9935,0.974,0.9804,0.973,0.8805,0.852,0.9588,0.8381,0.8446,0.7939
Gradient Boosting,Morgan FP,0.9468,0.9405,0.9803,0.9334,0.9365,0.9084,0.8651,0.8362,0.9517,0.8003,0.817,0.7652
AdaBoost,Morgan FP,0.6164,0.2004,0.8148,0.2229,0.1929,0.1415,0.616,0.1986,0.8143,0.2215,0.1908,0.1383
XGBoost,Morgan FP,0.9353,0.9221,0.9775,0.9239,0.9225,0.889,0.8704,0.838,0.9548,0.8259,0.8308,0.776
SVM,Morgan FP,0.9399,0.9306,0.9775,0.914,0.9217,0.8964,0.8499,0.8217,0.9441,0.7544,0.7848,0.7358
Logistic Regression,MACCS,0.826,0.7883,0.9373,0.7669,0.7758,0.6966,0.814,0.7705,0.9349,0.743,0.7551,0.6762
Decision Tree,MACCS,0.9678,0.9724,0.9868,0.9529,0.9623,0.9446,0.8533,0.807,0.9493,0.7742,0.7895,0.7451
Random Forest,MACCS,0.9678,0.9656,0.9884,0.9608,0.9631,0.9448,0.885,0.8595,0.9602,0.8349,0.8466,0.8012
Extra Trees,MACCS,0.9678,0.9724,0.9868,0.9529,0.9623,0.9446,0.8858,0.8619,0.9599,0.8356,0.8481,0.8025
Gradient Boosting,MACCS,0.929,0.9202,0.9746,0.9151,0.9174,0.878,0.878,0.8426,0.959,0.8313,0.8367,0.79
AdaBoost,MACCS,0.6585,0.3357,0.8521,0.3176,0.3124,0.3207,0.6592,0.3374,0.8519,0.3159,0.3117,0.3212
XGBoost,MACCS,0.9302,0.9213,0.9748,0.919,0.9198,0.8802,0.883,0.8526,0.9597,0.8369,0.8444,0.7978
SVM,MACCS,0.8838,0.8581,0.9582,0.8454,0.8504,0.799,0.862,0.8254,0.9507,0.8095,0.8158,0.7603
