Model,Embedding,Selected_Features,Train_ACC,Train_BACC,Train_PRE,Train_SPEC,Train_SENS,Train_F1,Train_MCC,Test_ACC,Test_BACC,Test_PRE,Test_SPEC,Test_SENS,Test_F1,Test_MCC,Selector,Selected_Feature_Names
Logistic Regression,Categorical,89,0.8133,0.7538,0.7774,0.9339,0.7538,0.7642,0.6758,0.8025,0.7443,0.7512,0.9332,0.7443,0.7469,0.6604,Boruta,maccs_53|maccs_54|maccs_99|maccs_131|maccs_139|maccs_140|maccs_146|MaxAbsEStateIndex|MinAbsEStateIndex|MinEStateIndex|qed|SPS|MolWt|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|BertzCT|HallKierAlpha|Kappa2|Kappa3|PEOE_VSA1|PEOE_VSA10|PEOE_VSA11|PEOE_VSA14|PEOE_VSA2|PEOE_VSA6|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA3|SlogP_VSA4|SlogP_VSA5|TPSA|EState_VSA1|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState2|VSA_EState3|VSA_EState4|VSA_EState5|VSA_EState6|VSA_EState7|VSA_EState8|FractionCSP3|NHOHCount|NumAliphaticRings|NumAmideBonds|NumAtomStereoCenters|NumRotatableBonds|NumUnspecifiedAtomStereoCenters|RingCount|MolLogP|fr_Al_COO|fr_Al_OH|fr_C_O|fr_C_O_noCOO|fr_NH1|fr_ether|fp_bit_117|fp_bit_314|fp_bit_389|fp_bit_1487|fp_bit_1921
Decision Tree,Categorical,89,0.9906,0.9841,0.9954,0.9957,0.9841,0.9895,0.984,0.8219,0.7362,0.7583,0.9412,0.7362,0.7463,0.6926,Boruta,maccs_53|maccs_54|maccs_99|maccs_131|maccs_139|maccs_140|maccs_146|MaxAbsEStateIndex|MinAbsEStateIndex|MinEStateIndex|qed|SPS|MolWt|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|BertzCT|HallKierAlpha|Kappa2|Kappa3|PEOE_VSA1|PEOE_VSA10|PEOE_VSA11|PEOE_VSA14|PEOE_VSA2|PEOE_VSA6|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA3|SlogP_VSA4|SlogP_VSA5|TPSA|EState_VSA1|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState2|VSA_EState3|VSA_EState4|VSA_EState5|VSA_EState6|VSA_EState7|VSA_EState8|FractionCSP3|NHOHCount|NumAliphaticRings|NumAmideBonds|NumAtomStereoCenters|NumRotatableBonds|NumUnspecifiedAtomStereoCenters|RingCount|MolLogP|fr_Al_COO|fr_Al_OH|fr_C_O|fr_C_O_noCOO|fr_NH1|fr_ether|fp_bit_117|fp_bit_314|fp_bit_389|fp_bit_1487|fp_bit_1921
Random Forest,Categorical,89,0.9906,0.9907,0.9889,0.9969,0.9907,0.9898,0.984,0.8721,0.8305,0.8432,0.9575,0.8305,0.8364,0.7805,Boruta,maccs_53|maccs_54|maccs_99|maccs_131|maccs_139|maccs_140|maccs_146|MaxAbsEStateIndex|MinAbsEStateIndex|MinEStateIndex|qed|SPS|MolWt|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|BertzCT|HallKierAlpha|Kappa2|Kappa3|PEOE_VSA1|PEOE_VSA10|PEOE_VSA11|PEOE_VSA14|PEOE_VSA2|PEOE_VSA6|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA3|SlogP_VSA4|SlogP_VSA5|TPSA|EState_VSA1|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState2|VSA_EState3|VSA_EState4|VSA_EState5|VSA_EState6|VSA_EState7|VSA_EState8|FractionCSP3|NHOHCount|NumAliphaticRings|NumAmideBonds|NumAtomStereoCenters|NumRotatableBonds|NumUnspecifiedAtomStereoCenters|RingCount|MolLogP|fr_Al_COO|fr_Al_OH|fr_C_O|fr_C_O_noCOO|fr_NH1|fr_ether|fp_bit_117|fp_bit_314|fp_bit_389|fp_bit_1487|fp_bit_1921
Extra Trees,Categorical,89,0.9906,0.9841,0.9954,0.9957,0.9841,0.9895,0.984,0.8698,0.8222,0.835,0.9557,0.8222,0.8283,0.7758,Boruta,maccs_53|maccs_54|maccs_99|maccs_131|maccs_139|maccs_140|maccs_146|MaxAbsEStateIndex|MinAbsEStateIndex|MinEStateIndex|qed|SPS|MolWt|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|BertzCT|HallKierAlpha|Kappa2|Kappa3|PEOE_VSA1|PEOE_VSA10|PEOE_VSA11|PEOE_VSA14|PEOE_VSA2|PEOE_VSA6|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA3|SlogP_VSA4|SlogP_VSA5|TPSA|EState_VSA1|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState2|VSA_EState3|VSA_EState4|VSA_EState5|VSA_EState6|VSA_EState7|VSA_EState8|FractionCSP3|NHOHCount|NumAliphaticRings|NumAmideBonds|NumAtomStereoCenters|NumRotatableBonds|NumUnspecifiedAtomStereoCenters|RingCount|MolLogP|fr_Al_COO|fr_Al_OH|fr_C_O|fr_C_O_noCOO|fr_NH1|fr_ether|fp_bit_117|fp_bit_314|fp_bit_389|fp_bit_1487|fp_bit_1921
Gradient Boosting,Categorical,89,0.9885,0.9872,0.988,0.9958,0.9872,0.9876,0.9803,0.8713,0.8232,0.8442,0.9555,0.8232,0.8333,0.7774,Boruta,maccs_53|maccs_54|maccs_99|maccs_131|maccs_139|maccs_140|maccs_146|MaxAbsEStateIndex|MinAbsEStateIndex|MinEStateIndex|qed|SPS|MolWt|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|BertzCT|HallKierAlpha|Kappa2|Kappa3|PEOE_VSA1|PEOE_VSA10|PEOE_VSA11|PEOE_VSA14|PEOE_VSA2|PEOE_VSA6|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA3|SlogP_VSA4|SlogP_VSA5|TPSA|EState_VSA1|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState2|VSA_EState3|VSA_EState4|VSA_EState5|VSA_EState6|VSA_EState7|VSA_EState8|FractionCSP3|NHOHCount|NumAliphaticRings|NumAmideBonds|NumAtomStereoCenters|NumRotatableBonds|NumUnspecifiedAtomStereoCenters|RingCount|MolLogP|fr_Al_COO|fr_Al_OH|fr_C_O|fr_C_O_noCOO|fr_NH1|fr_ether|fp_bit_117|fp_bit_314|fp_bit_389|fp_bit_1487|fp_bit_1921
AdaBoost,Categorical,89,0.6922,0.4432,0.6575,0.8711,0.4432,0.4583,0.42,0.6857,0.4415,0.7047,0.8691,0.4415,0.4479,0.4094,Boruta,maccs_53|maccs_54|maccs_99|maccs_131|maccs_139|maccs_140|maccs_146|MaxAbsEStateIndex|MinAbsEStateIndex|MinEStateIndex|qed|SPS|MolWt|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|BertzCT|HallKierAlpha|Kappa2|Kappa3|PEOE_VSA1|PEOE_VSA10|PEOE_VSA11|PEOE_VSA14|PEOE_VSA2|PEOE_VSA6|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA3|SlogP_VSA4|SlogP_VSA5|TPSA|EState_VSA1|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState2|VSA_EState3|VSA_EState4|VSA_EState5|VSA_EState6|VSA_EState7|VSA_EState8|FractionCSP3|NHOHCount|NumAliphaticRings|NumAmideBonds|NumAtomStereoCenters|NumRotatableBonds|NumUnspecifiedAtomStereoCenters|RingCount|MolLogP|fr_Al_COO|fr_Al_OH|fr_C_O|fr_C_O_noCOO|fr_NH1|fr_ether|fp_bit_117|fp_bit_314|fp_bit_389|fp_bit_1487|fp_bit_1921
XGBoost,Categorical,89,0.9906,0.9902,0.9892,0.9968,0.9902,0.9897,0.9839,0.8773,0.8444,0.8486,0.9583,0.8444,0.8463,0.7889,Boruta,maccs_53|maccs_54|maccs_99|maccs_131|maccs_139|maccs_140|maccs_146|MaxAbsEStateIndex|MinAbsEStateIndex|MinEStateIndex|qed|SPS|MolWt|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|BertzCT|HallKierAlpha|Kappa2|Kappa3|PEOE_VSA1|PEOE_VSA10|PEOE_VSA11|PEOE_VSA14|PEOE_VSA2|PEOE_VSA6|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA3|SlogP_VSA4|SlogP_VSA5|TPSA|EState_VSA1|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState2|VSA_EState3|VSA_EState4|VSA_EState5|VSA_EState6|VSA_EState7|VSA_EState8|FractionCSP3|NHOHCount|NumAliphaticRings|NumAmideBonds|NumAtomStereoCenters|NumRotatableBonds|NumUnspecifiedAtomStereoCenters|RingCount|MolLogP|fr_Al_COO|fr_Al_OH|fr_C_O|fr_C_O_noCOO|fr_NH1|fr_ether|fp_bit_117|fp_bit_314|fp_bit_389|fp_bit_1487|fp_bit_1921
SVM,Categorical,89,0.8759,0.8283,0.8581,0.9553,0.8283,0.8415,0.7848,0.85,0.7846,0.8175,0.9481,0.7846,0.7986,0.7402,Boruta,maccs_53|maccs_54|maccs_99|maccs_131|maccs_139|maccs_140|maccs_146|MaxAbsEStateIndex|MinAbsEStateIndex|MinEStateIndex|qed|SPS|MolWt|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|BertzCT|HallKierAlpha|Kappa2|Kappa3|PEOE_VSA1|PEOE_VSA10|PEOE_VSA11|PEOE_VSA14|PEOE_VSA2|PEOE_VSA6|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA3|SlogP_VSA4|SlogP_VSA5|TPSA|EState_VSA1|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState2|VSA_EState3|VSA_EState4|VSA_EState5|VSA_EState6|VSA_EState7|VSA_EState8|FractionCSP3|NHOHCount|NumAliphaticRings|NumAmideBonds|NumAtomStereoCenters|NumRotatableBonds|NumUnspecifiedAtomStereoCenters|RingCount|MolLogP|fr_Al_COO|fr_Al_OH|fr_C_O|fr_C_O_noCOO|fr_NH1|fr_ether|fp_bit_117|fp_bit_314|fp_bit_389|fp_bit_1487|fp_bit_1921
BiGRU,Categorical,89,0.8712,0.8741,0.836,0.9652,0.8741,0.8518,0.7919,0.8309,0.8178,0.7795,0.9544,0.8178,0.7947,0.7282,Boruta,maccs_53|maccs_54|maccs_99|maccs_131|maccs_139|maccs_140|maccs_146|MaxAbsEStateIndex|MinAbsEStateIndex|MinEStateIndex|qed|SPS|MolWt|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|BertzCT|HallKierAlpha|Kappa2|Kappa3|PEOE_VSA1|PEOE_VSA10|PEOE_VSA11|PEOE_VSA14|PEOE_VSA2|PEOE_VSA6|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA3|SlogP_VSA4|SlogP_VSA5|TPSA|EState_VSA1|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState2|VSA_EState3|VSA_EState4|VSA_EState5|VSA_EState6|VSA_EState7|VSA_EState8|FractionCSP3|NHOHCount|NumAliphaticRings|NumAmideBonds|NumAtomStereoCenters|NumRotatableBonds|NumUnspecifiedAtomStereoCenters|RingCount|MolLogP|fr_Al_COO|fr_Al_OH|fr_C_O|fr_C_O_noCOO|fr_NH1|fr_ether|fp_bit_117|fp_bit_314|fp_bit_389|fp_bit_1487|fp_bit_1921
BiLSTM,Categorical,89,0.9054,0.919,0.8764,0.974,0.919,0.8935,0.8464,0.8511,0.8374,0.8005,0.9582,0.8374,0.8161,0.7559,Boruta,maccs_53|maccs_54|maccs_99|maccs_131|maccs_139|maccs_140|maccs_146|MaxAbsEStateIndex|MinAbsEStateIndex|MinEStateIndex|qed|SPS|MolWt|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|BertzCT|HallKierAlpha|Kappa2|Kappa3|PEOE_VSA1|PEOE_VSA10|PEOE_VSA11|PEOE_VSA14|PEOE_VSA2|PEOE_VSA6|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA3|SlogP_VSA4|SlogP_VSA5|TPSA|EState_VSA1|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState2|VSA_EState3|VSA_EState4|VSA_EState5|VSA_EState6|VSA_EState7|VSA_EState8|FractionCSP3|NHOHCount|NumAliphaticRings|NumAmideBonds|NumAtomStereoCenters|NumRotatableBonds|NumUnspecifiedAtomStereoCenters|RingCount|MolLogP|fr_Al_COO|fr_Al_OH|fr_C_O|fr_C_O_noCOO|fr_NH1|fr_ether|fp_bit_117|fp_bit_314|fp_bit_389|fp_bit_1487|fp_bit_1921
